timestamp,right_servo_cmds,right_servo_pos,right_x,right_y,right_z,right_qx,right_qy,right_qz,left_servo_cmds,left_servo_pos,left_x,left_y,left_z,left_qx,left_qy,left_qz
1749212870.4275095,25,0.994,0.033375,-0.001725,0.284834,0.6000791034206905,1.208134361522995,0.5797809242199964,25,0.9977011494252873,0.039978,-0.00028,0.29071,-0.8851088235638843,1.2440357842365182,-0.8983733258790412
1749212870.4787908,25,0.994,0.029914,-0.002013,0.294839,0.6025749242510423,1.2087626800537128,0.5730439533072983,25,0.9977011494252873,0.041446,-0.00051,0.303221,-0.9308539032586558,1.260441879205265,-0.9521818267180264
1749212870.528572,25,0.994,0.027244,-0.002004,0.308565,0.636486671617292,1.2101065835777483,0.5975832825903385,25,0.9977011494252873,0.044388,-0.000714,0.316131,-0.9845227777574813,1.273950727615701,-1.0064964730400898
1749212870.580239,25,0.994,0.02537,-0.001672,0.322563,0.7054969902411479,1.2180652849668425,0.6490355889391314,25,0.9977011494252873,0.047462,-0.001003,0.330344,-1.0320829998743268,1.2881228011418948,-1.05567985136129
1749212870.63145,25,0.994,0.02474,-0.00103,0.330719,0.7565653241545021,1.2265824917165749,0.7334048049805372,25,0.9977011494252873,0.051552,-0.001402,0.348992,-1.143435006151565,1.3017887291850103,-1.1270463644753383
1749212870.6831107,25,0.994,0.025554,-0.000186,0.345276,0.8508480103472356,1.226547585131535,0.8393986504541529,25,0.9977011494252873,0.052655,-0.001765,0.358365,-1.1692309724960412,1.316746200874602,-1.2003327397665802
1749212870.735163,25,0.994,0.026876,0.000735,0.356653,0.9523039997656659,1.2320104656902773,0.9597914622567217,25,0.9977011494252873,0.056364,-0.002536,0.369699,-1.2414352436510467,1.3220869083857048,-1.2460603661688316
1749212870.785845,25,0.994,0.029817,0.001812,0.370426,1.0719812265749171,1.2352393248064668,1.1028910076277367,25,0.9977011494252873,0.05776,-0.003046,0.375168,-1.2525704442787706,1.327183269801528,-1.3017712758924906
1749212870.8362072,25,0.994,0.029912,0.002353,0.383179,1.0881953353259446,1.2335638087245522,1.1362617029258684,25,0.9977011494252873,0.060002,-0.004583,0.382741,-1.324949248358975,1.3322621779248316,-1.393051995771794
1749212870.8911102,25,0.994,0.030295,0.002942,0.391893,1.0997145083891071,1.2313123339894796,1.1597014747801522,25,0.9977011494252873,0.063201,-0.005835,0.386788,-1.3696994903801099,1.3354212238709413,-1.4716790785741385
